Marmara;Istanbul
Ic Anadolu;Ankara
Ege;Izmir
Marmara;Bursa
Akdeniz;Adana
Ic Anadolu ;Konya
Akdeniz;Antalya
Akdeniz;Mersin
Guneydogu Anadolu;Gaziantep
Guneydogu Anadolu;Sanliurfa
Guneydogu Anadolu;Diyarbakir
Marmara;Kocaeli
Akdeniz;Hatay
Ege;Manisa
Karadeniz;Samsun
Ic Anadolu;Kayseri
Marmara;Balikesir
Akdeniz;Kahramanmaras
Dogu Anadolu;Van
Ege;Aydin
Ege;Denizli
Marmara;Sakarya
Dogu Anadolu;Erzurum
Ege;Mugla
Guneydogu Anadolu;Mardin
Karadeniz;Trabzon
Marmara;Tekirdag
Ic Anadolu;Eskisehir
Dogu Anadolu;Malatya
Karadeniz;Ordu
Ege;Afyonkarahisar
Ic Anadolu;Sivas
Karadeniz;Tokat
Karadeniz;Zonguldak
Ege;Kutahya
Guneydogu Anadolu;Adiyaman
Karadeniz;Corum
Dogu Anadolu;Elazig
Dogu Anadolu;Agri
Ic Anadolu;Yozgat
Marmara;Canakkale
Guneydogu Anadolu;Batman
Akdeniz;Osmaniye
Akdeniz;Isparta
Karadeniz;Giresun
Dogu Anadolu;Sirnak
Dogu Anadolu;Mus
Marmara;Edirne
Ic Anadolu;Aksaray
Karadeniz;Kastamonu
Ege;Usak
Marmara;Kirklareli
Ic Anadolu;Nigde
Karadeniz;Amasya
Dogu Anadolu;Bitlis
Karadeniz;Duzce
Karadeniz;Rize
Dogu Anadolu;Kars
Guneydogu Anadolu;Siirt
Ic Anadolu;Kirikkale
Ic Anadolu;Nevsehir
Karadeniz;Bolu
Dogu Anadolu;Bingol
Akdeniz;Burdur
Dogu Anadolu;Hakkari
Ic Anadolu ;Karaman
Ic Anadolu;Kirsehir
Karadeniz;Karabuk
Dogu Anadolu;Erzincan
Karadeniz;Bilecik
Karadeniz;Sinop
Karadeniz;Bartin
Dogu Anadolu;Igdir
Marmara;Yalova
Ic Anadolu;Cankiri
Karadeniz;Artvin
Karadeniz;Gumushane
Akdeniz;Kilis
Dogu Anadolu;Ardahan
Dogu Anadolu;Tunceli
Karadeniz;Bayburt
